epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,44.6984,1.31942,2.04615,1.26718,0.55688,0.23723,0.29598,0.18641,1.2347,4.76338,1.21357,0.000411111,0.000411111,0.000411111
2,90.3404,1.26245,1.20967,1.20785,0.63011,0.55433,0.59786,0.35044,1.20507,1.58041,1.16203,0.000811388,0.000811388,0.000811388
3,139.276,1.27712,1.1624,1.21937,0.5908,0.43617,0.43384,0.25102,1.33308,1.65642,1.19134,0.00119516,0.00119516,0.00119516
4,186.418,1.2783,1.15317,1.22046,0.69613,0.53863,0.58541,0.34712,1.2333,2.12547,1.21239,0.00117575,0.00117575,0.00117575
5,234.479,1.25614,1.07213,1.23044,0.71084,0.56817,0.62279,0.37598,1.16843,1.24926,1.13991,0.001151,0.001151,0.001151
6,282.291,1.21037,1.00092,1.19472,0.72755,0.66569,0.70313,0.42207,1.14928,0.90669,1.12266,0.00112625,0.00112625,0.00112625
7,330.506,1.15777,0.90794,1.15903,0.75602,0.65015,0.69627,0.42196,1.13668,0.94888,1.08888,0.0011015,0.0011015,0.0011015
8,378.226,1.14788,0.88987,1.13124,0.79873,0.70746,0.75708,0.47805,1.06973,0.78477,1.06815,0.00107675,0.00107675,0.00107675
9,426.424,1.10726,0.82799,1.12757,0.77712,0.67498,0.72068,0.47116,1.02295,0.80056,1.04047,0.001052,0.001052,0.001052
10,474.213,1.07828,0.78427,1.09621,0.81644,0.68982,0.74092,0.4808,1.03911,0.76397,1.04414,0.00102725,0.00102725,0.00102725
11,522.337,1.02106,0.74832,1.07806,0.86835,0.69269,0.77719,0.49948,1.01524,0.73559,1.0346,0.0010025,0.0010025,0.0010025
12,570.31,1.02703,0.7083,1.07343,0.84288,0.68741,0.75618,0.48628,1.03796,0.77377,1.05015,0.00097775,0.00097775,0.00097775
13,618.219,0.97371,0.67968,1.05963,0.82574,0.70722,0.7664,0.50655,1.00389,0.72511,1.02866,0.000953,0.000953,0.000953
14,666.221,0.98379,0.67971,1.06616,0.85196,0.7167,0.77679,0.51024,0.98058,0.70175,1.00638,0.00092825,0.00092825,0.00092825
15,714.247,0.94129,0.64259,1.03484,0.88893,0.68667,0.76794,0.50924,0.99218,0.69255,1.01944,0.0009035,0.0009035,0.0009035
16,761.947,0.92777,0.63064,1.03355,0.83244,0.72763,0.77931,0.51112,0.98724,0.67988,1.01297,0.00087875,0.00087875,0.00087875
17,810.024,0.918,0.61434,1.02451,0.85594,0.71254,0.79869,0.52803,0.97505,0.66524,1.01022,0.000854,0.000854,0.000854
18,857.844,0.90368,0.6127,1.01874,0.83756,0.71767,0.78735,0.51998,0.99396,0.70645,1.0397,0.00082925,0.00082925,0.00082925
19,905.541,0.87889,0.56731,1.01045,0.82034,0.72919,0.77826,0.51045,0.99531,0.69689,1.02726,0.0008045,0.0008045,0.0008045
20,952.998,0.85746,0.56505,0.99629,0.86774,0.74608,0.8107,0.53758,0.96426,0.64137,1.01858,0.00077975,0.00077975,0.00077975
21,1001.1,0.82888,0.54177,0.9821,0.88224,0.73009,0.79346,0.53307,0.96495,0.66547,1.01758,0.000755,0.000755,0.000755
22,1048.8,0.81896,0.5315,0.97792,0.88066,0.74121,0.80875,0.54419,0.95618,0.60587,1.02089,0.00073025,0.00073025,0.00073025
23,1096.87,0.81407,0.52392,0.97623,0.89761,0.72404,0.79953,0.54611,0.94943,0.62388,1.01534,0.0007055,0.0007055,0.0007055
24,1144.51,0.78566,0.50812,0.97303,0.88946,0.73409,0.8072,0.54475,0.94873,0.62827,1.00035,0.00068075,0.00068075,0.00068075
25,1192.17,0.79798,0.49212,0.95807,0.84816,0.75486,0.80883,0.55124,0.94772,0.63911,0.99685,0.000656,0.000656,0.000656
26,1240.07,0.78449,0.48758,0.95316,0.86623,0.75248,0.8039,0.54119,0.94417,0.63616,0.99643,0.00063125,0.00063125,0.00063125
27,1287.73,0.76224,0.47489,0.95336,0.8755,0.74533,0.81108,0.55001,0.94626,0.5947,0.9992,0.0006065,0.0006065,0.0006065
28,1335.36,0.75336,0.46795,0.9511,0.84685,0.76346,0.80515,0.54702,0.94637,0.60759,1.00593,0.00058175,0.00058175,0.00058175
29,1383.1,0.74894,0.45897,0.93893,0.87155,0.75238,0.81776,0.54957,0.94323,0.60436,1.00168,0.000557,0.000557,0.000557
30,1430.77,0.73039,0.45644,0.94215,0.88691,0.74598,0.80818,0.55081,0.91646,0.60592,0.99649,0.00053225,0.00053225,0.00053225
